slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
数字化管理师,数字化管理师,2-06-07-13,大学专科学历（或高等职业学校毕业）,中国电子学会,"初级,中级,高级",,"数字化专员,数字化设计师,数字化项目经理,数字化工程师,数字化转型顾问,数字化解决方案专家",5
旅店服务员,旅店服务员,4-03-01-03,初中毕业（或相当文化程度）,浙江工商职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"客房服务员,前台服务员,礼宾服务员,餐饮服务员,民宿管家",7
旅游咨询员,旅游咨询员,4-07-04-04,高中毕业（或同等学力）,浙江工商职业技术学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"导游,旅游咨询顾问,旅游策划,旅游顾问",4
无人机测绘操控员,无人机测绘操控员,4-08-03-07,初中毕业（或相当文化程度）,浙江公路技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"大地测量员,摄影测量员,地图绘制员,工程测量员,海洋测绘员,地理信息采集员,地理信息处理员,地理信息应用作业员",5
无人机装调检修工,无人机装调检修工,6-23-03-15,初中毕业（或相当文化程度）,中航职校,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"无人机测试工程师,无人机维修质检员,无人机维修工程师,无人机组装维修工,无人机设备维护员,无人机维修服务人员,无人机维修培训师",8
无人机驾驶员,无人机驾驶员,4-02-04-06,初中毕业（或相当文化程度）,智训机器人,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","植保无人机驾驶员,安防无人机驾驶员,航拍无人机驾驶员,巡检无人机驾驶员,物流无人机驾驶员","无人机飞手,无人机驾驶员,无人机操作员,航拍摄影师,无人机巡检飞手,无人机测绘工程师,无人机植保员,无人机物流操作员",7
服务机器人应用技术员,服务机器人应用技术员,4-04-05-07,初中毕业（或相当文化程度）,中国仪器仪表学会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"服务机器人技术服务工程师,服务机器人现场应用工程师,服务机器人售后工程师/售后维修技术员,服务机器人调试工程师,服务机器人算法工程师,服务机器人项目经理,服务机器人销售专员,服务机器人课程讲师",5
服装制版师,服装制版师,6-05-01-01,初中毕业（或相当文化程度）,河南技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","裁剪服装制版师,成型编织服装制版师","服装打样版师,服装版师助理,服装高级版师,CAD服装制版师,绣花制版师,服装纸样师,服装审版师,服装模板制作",5
机床装调维修工,机床装调维修工,6-20-03-01,初中毕业（或相当文化程度）,新昌技师学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师","数控机床装调维修工,普通机床装调维修工","机床装调维修工,机械装配调试员,数控机床维修工程师,机床设备维护技师,智能机床运维工程师,数控系统调试工程师,工业机器人维修技师（含机床联调）,五轴机床维修技术员,高精密机床装调师,车铣复合设备维护工程师",9
机械木工,机械木工,6-06-03-02,初中毕业（或相当文化程度）,欧派家居集团,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"开料主机手,封边主机手,排钻主机手,木工设备调机技师,调油工,组装工,打磨工程师",8
